read_file,total_reads,total_bases,percent_bases_mapped,CP008706_accession,CP008706_coverage_avg,CP008706_coverage_rel_variance,CP008706_num_reads_mapped,CP008706_num_bases_mapped,CP008706_length,CP008706_nbinom_fit_mean,CP008706_nbinom_fit_rel_var,CP008707_accession,CP008707_coverage_avg,CP008707_coverage_rel_variance,CP008707_num_reads_mapped,CP008707_num_bases_mapped,CP008707_length,CP008707_nbinom_fit_mean,CP008707_nbinom_fit_rel_var,CP008708_accession,CP008708_coverage_avg,CP008708_coverage_rel_variance,CP008708_num_reads_mapped,CP008708_num_bases_mapped,CP008708_length,CP008708_nbinom_fit_mean,CP008708_nbinom_fit_rel_var,CP008709_accession,CP008709_coverage_avg,CP008709_coverage_rel_variance,CP008709_num_reads_mapped,CP008709_num_bases_mapped,CP008709_length,CP008709_nbinom_fit_mean,CP008709_nbinom_fit_rel_var
NRA283_S93_L008_R1_001_fastxclipper_trimmed,2827162,254475509,1.0,CP008706,51.34,9.5,2247079.0,202772515.9,3972672,58.68,8.99,CP008707,38.36,12.08,30379.0,2710478.0,83610,53.53,25.17,CP008708,1117.79,360.9,107183.0,9635800.0,8731,625.06,87.58,CP008709,19539.92,2364.32,401429.0,35234374.0,1967,17739.54,1127.34
NRA284_S94_L008_R1_001_fastxclipper_trimmed,1846714,166166507,1.0,CP008706,32.86,6.41,1424212.0,128377463.6,3972672,37.08,5.93,CP008707,18.26,6.35,12296.0,1095182.0,83610,32.48,19.5,CP008708,906.19,304.65,86139.0,7771831.0,8731,6704.96,6514.44,CP008709,14383.7,1699.1,294325.0,25940650.0,1967,14053.52,1491.54
NRA285_S95_L008_R1_001_fastxclipper_trimmed,1657470,154573310,1.0,CP008706,35.08,53.6,1485247.0,138669827.03,3972672,35.39,7.68,CP008707,22.63,9.63,16771.0,1558420.0,83610,26.8,8.05,CP008708,677.92,223.66,63022.0,5819243.0,8731,844.47,124.63,CP008709,4121.36,502.25,81560.0,7403612.0,1967,3513.22,242.62
NRA286_S96_L008_R1_001_fastxclipper_trimmed,1208933,112965335,1.0,CP008706,26.48,5.82,1114830.0,104239171.67,3972672,28.77,5.76,CP008707,21.27,6.1,13200.0,1228478.0,83610,23.35,6.36,CP008708,394.54,131.89,36584.0,3386466.0,8731,250.27,39.69,CP008709,1956.56,218.18,38823.0,3527732.0,1967,2071.44,293.75
NRA287_S97_L008_R1_001_fastxclipper_trimmed,1169662,108849041,1.0,CP008706,22.8,5.2,961089.0,89657234.67,3972672,24.62,4.97,CP008707,7.01,2.42,4607.0,427348.0,83610,7.65,2.83,CP008708,1071.24,365.8,99602.0,9190547.0,8731,1042.0,456.6,CP008709,4695.81,524.79,93356.0,8447035.0,1967,4094.77,254.58
NRA288_S98_L008_R1_001_fastxclipper_trimmed,797178,74878950,1.0,CP008706,16.48,3.98,694591.0,65346641.53,3972672,17.08,3.75,CP008707,12.65,3.55,9342.0,878886.0,83610,12.83,2.84,CP008708,465.88,129.92,42813.0,3984896.0,8731,284.31,58.48,CP008709,2280.49,266.9,45090.0,4117565.0,1967,2034.7,186.7
NRA289_S99_L008_R1_001_fastxclipper_trimmed,1464787,136647822,1.0,CP008706,30.12,6.5,1271075.0,118693639.19,3972672,32.29,6.08,CP008707,182.37,44.73,74952.0,6985306.0,83610,195.07,32.03,CP008708,498.53,146.4,46381.0,4279394.0,8731,641.56,60.07,CP008709,3228.41,390.66,63495.0,5771521.0,1967,2826.02,178.7
NRA290_S100_L008_R1_001_fastxclipper_trimmed,1492813,133834825,1.0,CP008706,29.46,5.95,1297519.0,116488331.0,3972672,33.26,5.95,CP008707,31.72,9.54,25407.0,2243877.0,83610,33.35,10.57,CP008708,565.07,174.29,54699.0,4872827.0,8731,1189.17,892.47,CP008709,4955.52,596.8,102531.0,8937350.0,1967,4246.9,161.97
NRA291_S101_L008_R1_001_fastxclipper_trimmed,2252840,202314578,1.0,CP008706,46.83,133.53,2062022.0,185226662.03,3972672,48.02,8.16,CP008707,29.34,8.53,23444.0,2076771.0,83610,34.8,11.63,CP008708,550.23,164.03,53131.0,4748844.0,8731,653.03,290.51,CP008709,4813.28,541.99,98978.0,8688767.0,1967,4169.72,160.4
NRA292_S102_L008_R1_001_fastxclipper_trimmed,2224777,199986918,1.0,CP008706,41.52,7.9,1815178.0,163356923.0,3972672,47.2,7.99,CP008707,15.2,4.93,10294.0,921232.0,83610,16.6,6.17,CP008708,1186.93,353.53,114178.0,10233629.0,8731,692.16,73.88,CP008709,12581.29,1444.61,257447.0,22683771.0,1967,10759.02,367.54
