read_file,total_reads,total_bases,percent_bases_mapped,CP008706_accession,CP008706_coverage_avg,CP008706_coverage_rel_variance,CP008706_num_reads_mapped,CP008706_num_bases_mapped,CP008706_length,CP008706_nbinom_fit_mean,CP008706_nbinom_fit_rel_var,CP008707_accession,CP008707_coverage_avg,CP008707_coverage_rel_variance,CP008707_num_reads_mapped,CP008707_num_bases_mapped,CP008707_length,CP008707_nbinom_fit_mean,CP008707_nbinom_fit_rel_var,CP008708_accession,CP008708_coverage_avg,CP008708_coverage_rel_variance,CP008708_num_reads_mapped,CP008708_num_bases_mapped,CP008708_length,CP008708_nbinom_fit_mean,CP008708_nbinom_fit_rel_var,CP008709_accession,CP008709_coverage_avg,CP008709_coverage_rel_variance,CP008709_num_reads_mapped,CP008709_num_bases_mapped,CP008709_length,CP008709_nbinom_fit_mean,CP008709_nbinom_fit_rel_var
NRA339_S146_L008_R1_001_fastxclipper_trimmed,3055533,272391130,0.998,CP008706,65.634,13.539,2922016.0,260486380.289,3972672,76.609,14.414,CP008707,39.169,13.033,25038.0,2189281.0,83610,35.691,11.227,CP008708,453.446,142.39,44318.0,3913104.0,8731,303.093,66.552,CP008709,2487.465,284.728,51901.0,4494635.0,1967,2119.686,63.82
NRA340_S147_L008_R1_001_fastxclipper_trimmed,2845105,253179817,0.997,CP008706,59.158,13.272,2633044.0,234248167.667,3972672,69.13,13.636,CP008707,36.194,14.17,23775.0,2067486.0,83610,44.306,20.692,CP008708,663.436,237.054,64921.0,5726377.0,8731,453.603,116.408,CP008709,5187.718,646.881,105797.0,9314162.0,1967,4359.287,170.989
NRA341_S148_L008_R1_001_fastxclipper_trimmed,2712550,242680134,0.998,CP008706,57.457,13.172,2551580.0,228273576.867,3972672,66.935,13.543,CP008707,37.611,14.071,30593.0,2685935.0,83610,46.229,20.885,CP008708,504.629,185.829,48871.0,4339399.0,8731,534.369,231.991,CP008709,3336.602,401.98,68487.0,6004470.0,1967,3093.103,233.649
NRA342_S149_L008_R1_001_fastxclipper_trimmed,2023879,180826569,0.998,CP008706,41.231,9.829,1824798.0,163112497.4,3972672,48.057,10.795,CP008707,60.608,22.358,49505.0,4325938.0,83610,63.459,25.965,CP008708,462.827,174.233,44915.0,3978928.0,8731,588.761,249.679,CP008709,4471.4,556.59,91255.0,8026106.0,1967,3735.895,125.314
NRA343_S150_L008_R1_001_fastxclipper_trimmed,1209909,111244368,0.997,CP008706,24.515,6.444,1044520.0,96087712.844,3972672,27.356,6.319,CP008707,110.064,42.4,53725.0,4876161.0,83610,107.117,35.516,CP008708,416.152,178.285,39360.0,3572882.0,8731,265.474,71.901,CP008709,3117.417,394.437,61826.0,5574926.0,1967,2608.864,117.915
NRA344_S151_L008_R1_001_fastxclipper_trimmed,2350463,209918249,0.997,CP008706,48.262,11.122,2139380.0,191027260.433,3972672,55.974,11.766,CP008707,32.499,12.18,16299.0,1415335.0,83610,34.42,12.771,CP008708,575.325,222.507,56505.0,5027307.0,8731,0.0,0.0,CP008709,5891.894,748.709,119953.0,10577010.0,1967,5051.602,234.924
NRA345_S152_L008_R1_001_fastxclipper_trimmed,2203133,191895622,0.997,CP008706,41.825,10.923,1892427.0,164709068.667,3972672,49.904,12.326,CP008707,31.466,15.053,20961.0,1764622.0,83610,22.31,9.619,CP008708,687.755,299.862,68074.0,5899378.0,8731,4226.698,4623.471,CP008709,9528.611,1407.497,197223.0,17080452.0,1967,7722.677,480.901
NRA346_S153_L008_R1_001_fastxclipper_trimmed,1991120,177420128,0.997,CP008706,41.572,9.909,1847426.0,164665531.0,3972672,47.101,9.957,CP008707,82.672,27.764,67754.0,5918483.0,83610,100.159,40.465,CP008708,252.044,89.453,24646.0,2169260.0,8731,173.248,48.923,CP008709,1991.654,257.051,40672.0,3565283.0,1967,1639.25,41.059
NRA347_S154_L008_R1_001_fastxclipper_trimmed,1870176,167382026,0.997,CP008706,39.687,9.573,1739096.0,155799395.0,3972672,46.264,9.79,CP008707,153.339,60.059,78672.0,6861047.0,83610,165.728,62.473,CP008708,238.101,96.252,23583.0,2076112.0,8731,0.0,0.0,CP008709,1049.137,137.328,21639.0,1884727.0,1967,892.139,43.205
NRA348_S155_L008_R1_001_fastxclipper_trimmed,1879501,168087808,0.997,CP008706,40.397,9.895,1782142.0,159360278.5,3972672,47.402,10.615,CP008707,30.115,11.947,20372.0,1781204.0,83610,34.414,12.504,CP008708,309.53,119.93,29926.0,2653058.0,8731,148.071,18.19,CP008709,1820.562,252.841,37060.0,3257966.0,1967,1541.903,51.657
NRA349_S156_L008_R1_001_fastxclipper_trimmed,2059870,184544502,0.997,CP008706,40.517,9.717,1787036.0,160174192.278,3972672,46.895,10.185,CP008707,23.882,9.31,16199.0,1413236.0,83610,36.781,20.571,CP008708,705.146,263.256,68179.0,6074102.0,8731,750.626,306.11,CP008709,8234.155,1038.622,167623.0,14772697.0,1967,6900.458,250.849
NRA350_S157_L008_R1_001_fastxclipper_trimmed,2251776,200040283,0.996,CP008706,47.124,10.801,2102563.0,186675943.333,3972672,53.815,10.99,CP008707,36.383,13.788,20444.0,1774857.0,83610,31.832,13.401,CP008708,419.549,149.809,40583.0,3591140.0,8731,334.387,105.979,CP008709,3578.068,435.261,72729.0,6428183.0,1967,3024.215,115.486
NRA351_S158_L008_R1_001_fastxclipper_trimmed,1798947,165527668,0.998,CP008706,39.805,9.618,1701995.0,156620213.778,3972672,45.037,9.726,CP008707,26.157,8.811,18735.0,1703051.0,83610,29.939,8.638,CP008708,430.309,161.751,40318.0,3677039.0,8731,237.224,29.765,CP008709,1579.181,191.411,31525.0,2841798.0,1967,1265.271,49.15
NRA352_S159_L008_R1_001_fastxclipper_trimmed,1336997,120390064,0.997,CP008706,26.841,5.842,1176081.0,105867209.389,3972672,29.919,6.236,CP008707,138.12,34.557,55210.0,4917328.0,83610,142.624,27.429,CP008708,347.474,101.072,33311.0,2993550.0,8731,404.978,139.518,CP008709,3061.697,337.204,61832.0,5514251.0,1967,2667.5,126.992
NRA353_S160_L008_R1_001_fastxclipper_trimmed,1063274,95607350,0.997,CP008706,21.678,4.719,954344.0,85793754.333,3972672,24.113,5.115,CP008707,14.533,4.336,11639.0,1028718.0,83610,16.11,5.377,CP008708,315.085,83.954,30243.0,2715489.0,8731,250.656,39.668,CP008709,2887.413,304.213,58667.0,5211986.0,1967,2484.186,100.207
NRA354_S161_L008_R1_001_fastxclipper_trimmed,1174187,105090386,0.997,CP008706,23.284,5.109,1025848.0,91833928.167,3972672,26.139,5.767,CP008707,127.463,36.879,61480.0,5409794.0,83610,128.019,31.611,CP008708,282.89,79.855,27403.0,2440698.0,8731,197.04,25.743,CP008709,2505.785,266.504,50738.0,4521384.0,1967,2357.015,190.21
NRA355_S162_L008_R1_001_fastxclipper_trimmed,1123336,100746812,0.997,CP008706,21.425,4.761,942810.0,84564328.4,3972672,23.964,5.152,CP008707,12.592,3.982,9131.0,803236.0,83610,13.94,5.118,CP008708,555.182,160.91,53524.0,4787693.0,8731,338.471,34.342,CP008709,5178.114,556.436,105514.0,9339764.0,1967,4520.52,201.477
NRA356_S163_L008_R1_001_fastxclipper_trimmed,1118111,99944009,0.997,CP008706,21.183,4.913,939881.0,84056552.97,3972672,23.42,5.209,CP008707,67.803,17.179,54991.0,4833707.0,83610,80.072,27.346,CP008708,298.212,85.969,28851.0,2572076.0,8731,212.222,28.834,CP008709,4119.57,442.677,84056.0,7435460.0,1967,3549.827,130.711
NRA357_S164_L008_R1_001_fastxclipper_trimmed,655198,59350123,0.997,CP008706,12.684,3.058,549911.0,49853224.067,3972672,13.916,3.414,CP008707,8.283,2.703,6452.0,576121.0,83610,7.591,2.099,CP008708,289.264,79.344,27373.0,2462268.0,8731,319.62,78.667,CP008709,3138.802,351.0,63600.0,5640751.0,1967,2874.638,186.972
NRA358_S165_L008_R1_001_fastxclipper_trimmed,1118137,100069089,0.997,CP008706,23.04,5.018,1019793.0,91267344.333,3972672,25.479,5.132,CP008707,39.884,10.678,32221.0,2835717.0,83610,42.337,11.052,CP008708,215.734,60.085,20821.0,1855801.0,8731,146.117,13.628,CP008709,1910.335,207.886,38911.0,3445144.0,1967,1685.125,79.011
NRA359_S166_L008_R1_001_fastxclipper_trimmed,1155011,103517078,0.997,CP008706,23.898,5.247,1060858.0,95052915.489,3972672,26.725,5.706,CP008707,20.524,5.84,16468.0,1450305.0,83610,22.23,6.54,CP008708,259.988,74.101,25150.0,2242288.0,8731,168.285,15.116,CP008709,2209.804,239.184,44962.0,3991700.0,1967,2001.371,127.332
NRA360_S167_L008_R1_001_fastxclipper_trimmed,1104071,98096959,0.996,CP008706,23.193,5.386,1032273.0,91656864.981,3972672,26.503,6.25,CP008707,17.577,5.684,8566.0,744902.0,83610,18.573,7.153,CP008708,219.238,66.695,21358.0,1893699.0,8731,164.055,26.707,CP008709,1657.252,185.014,33785.0,2988503.0,1967,1435.109,74.091
