read_file,total_reads,total_bases,percent_bases_mapped,chr_coverage_avg,chr_coverage_rel_variance,chr_num_reads_mapped,chr_num_bases_mapped,chr_length,chr_nbinom_fit_mean,chr_nbinom_fit_rel_var,pab1_coverage_avg,pab1_coverage_rel_variance,pab1_num_reads_mapped,pab1_num_bases_mapped,pab1_length,pab1_nbinom_fit_mean,pab1_nbinom_fit_rel_var,pab2_coverage_avg,pab2_coverage_rel_variance,pab2_num_reads_mapped,pab2_num_bases_mapped,pab2_length,pab2_nbinom_fit_mean,pab2_nbinom_fit_rel_var,pab3_coverage_avg,pab3_coverage_rel_variance,pab3_num_reads_mapped,pab3_num_bases_mapped,pab3_length,pab3_nbinom_fit_mean,pab3_nbinom_fit_rel_var
NRA303_S112_L008_R1_001_minlen_trimmed,1918107,182974542,182974542,40.37,8.83,1670163.0,159315254.67,3972672,42.1,7.69,15.69,4.79,7381.0,704002.0,83610,18.96,5.84,917.65,226.96,83057.0,7927004.0,8731,1133.94,154.89,7328.8,418.05,141003.0,13353107.0,1967,7124.1,373.07
NRA304_S113_L008_R1_001_minlen_trimmed,3432243,322012904,322012904,73.41,16.98,3101894.0,290776969.67,3972672,77.85,14.62,97.02,22.73,75074.0,6950433.0,83610,114.11,31.32,1010.23,243.17,92831.0,8730980.0,8731,3854.23,2106.31,7352.4,405.12,141493.0,13404696.0,1967,7365.35,439.18
NRA306_S114_L008_R1_001_minlen_trimmed,4060421,387005672,387005672,91.04,16.66,3795369.0,361647397.0,3972672,100.48,13.88,64.64,18.93,29587.0,2806204.0,83610,71.55,21.77,1275.55,338.71,115509.0,11004876.0,8731,1606.12,211.6,5211.0,317.77,100170.0,9486824.0,1967,5056.78,285.27
NRA307_S115_L008_R1_001_minlen_trimmed,3993644,382648259,382648259,86.05,14.59,3565507.0,341466483.27,3972672,93.47,12.05,50.61,13.21,22721.0,2163531.0,83610,74.26,27.43,1363.72,322.2,122264.0,11755715.0,8731,1682.59,257.0,13206.26,733.65,251299.0,24009140.0,1967,13592.81,871.61
NRA308_S116_L008_R1_001_minlen_trimmed,3134088,299596006,299596006,64.45,14.46,2668436.0,255010047.33,3972672,66.28,11.61,17.3,5.24,12748.0,1207125.0,83610,21.21,7.79,1351.95,342.71,121715.0,11673039.0,8731,2374.48,903.38,15556.62,921.23,297518.0,28302606.0,1967,15705.73,994.53
NRA309_S117_L008_R1_001_minlen_trimmed,2762029,263724333,263724333,56.41,10.22,2331282.0,222479727.38,3972672,60.83,8.58,90.14,24.34,67692.0,6411145.0,83610,136.78,53.99,1019.96,255.33,92596.0,8892137.0,8731,1661.0,639.1,12703.73,700.65,242878.0,23145087.0,1967,12307.83,627.13
NRA310_S118_L008_R1_001_minlen_trimmed,2637456,250963966,250963966,56.89,14.54,2366395.0,225182797.65,3972672,56.46,11.92,20.4,5.8,9090.0,858459.0,83610,21.03,5.62,899.85,228.53,81935.0,7775077.0,8731,1139.13,169.59,8303.06,485.64,160033.0,15111317.0,1967,8317.33,501.58
NRA311_S119_L008_R1_001_minlen_trimmed,1808988,177757538,177757538,37.1,7.36,1491243.0,146495747.28,3972672,38.2,5.84,16.64,4.88,11788.0,1159858.0,83610,16.77,3.58,1496.61,394.85,131035.0,12882271.0,8731,4249.59,2036.48,8492.03,432.82,157121.0,15403583.0,1967,8347.99,280.08
NRA312_S120_L008_R1_001_minlen_trimmed,1745128,171750762,171750762,37.83,10.02,1527300.0,150259445.32,3972672,36.6,7.38,25.81,6.63,14430.0,1421657.0,83610,25.09,5.16,1027.03,262.26,89688.0,8835290.0,8731,1322.98,193.97,5483.79,291.17,101197.0,9947301.0,1967,5474.05,194.81
NRA313_S121_L008_R1_001_minlen_trimmed,1973021,190030781,190030781,42.11,10.29,1730284.0,166501390.0,3972672,42.89,8.7,13.25,4.06,10015.0,962808.0,83610,17.62,7.19,1160.39,301.63,103400.0,10003904.0,8731,1453.59,166.93,6067.74,332.74,114307.0,11026242.0,1967,5961.71,280.83
NRA314_S122_L008_R1_001_minlen_trimmed,2577426,246218657,246218657,52.64,9.72,2182719.0,208219990.44,3972672,57.86,8.75,17.58,5.3,10979.0,1042592.0,83610,26.62,11.54,1351.82,318.27,121010.0,11621335.0,8731,2487.03,941.5,12406.52,647.69,235640.0,22589570.0,1967,12379.89,649.43
NRA315_S123_L008_R1_001_minlen_trimmed,4128642,391329816,391329816,84.25,14.99,3518061.0,333553599.66,3972672,92.34,12.38,46.37,12.45,21548.0,2028180.0,83610,50.58,12.16,2469.72,603.86,225753.0,21342096.0,8731,6767.84,3294.0,16742.73,873.27,325123.0,30547778.0,1967,16201.94,724.77
NRA316_S124_L008_R1_001_minlen_trimmed,3764626,355366346,355366346,79.14,15.64,3344288.0,315592562.4,3972672,84.16,12.46,173.31,39.21,131823.0,12324077.0,83610,215.54,57.54,934.16,224.61,85382.0,8074269.0,8731,1250.6,333.81,9172.42,443.26,177391.0,16746910.0,1967,8937.52,389.94
NRA317_S125_L008_R1_001_minlen_trimmed,3847064,362354114,362354114,82.62,17.26,3513945.0,331014946.28,3972672,88.46,14.41,123.02,31.15,94036.0,8757066.0,83610,155.3,45.78,747.18,189.58,68752.0,6460754.0,8731,1839.26,861.56,7549.43,415.87,147608.0,13788974.0,1967,7313.72,381.5
NRA319_S126_L008_R1_001_minlen_trimmed,3697826,350920591,350920591,80.66,15.47,3376284.0,320349335.98,3972672,86.58,12.4,44.24,11.78,29760.0,2798452.0,83610,45.4,8.67,1341.9,326.01,122179.0,11575518.0,8731,1622.91,237.19,7622.79,396.14,147455.0,13913637.0,1967,7527.16,387.69
NRA320_S127_L008_R1_001_minlen_trimmed,2702491,255553666,255553666,62.21,11.42,2607380.0,246512964.41,3972672,68.26,9.65,32.37,10.19,15919.0,1482732.0,83610,37.41,10.49,360.1,92.94,33100.0,3113720.0,8731,556.82,223.0,1829.17,102.38,35475.0,3329941.0,1967,1782.1,97.7
NRA321_S128_L008_R1_001_minlen_trimmed,2702019,254815410,254815410,58.77,11.16,2474956.0,233309176.28,3972672,64.36,9.72,38.63,11.43,20664.0,1920428.0,83610,50.11,16.92,969.79,246.24,88838.0,8378285.0,8731,1380.96,387.77,5219.8,280.39,101023.0,9510952.0,1967,5147.8,272.86
NRA322_S129_L008_R1_001_minlen_trimmed,3219229,302087878,302087878,68.25,12.92,2886983.0,270532190.44,3972672,74.42,11.79,62.32,15.88,29437.0,2716092.0,83610,69.26,16.45,999.22,238.42,91189.0,8632896.0,8731,1304.07,380.62,9633.59,450.37,185711.0,17583372.0,1967,9459.13,437.56
NRA323_S130_L008_R1_001_minlen_trimmed,3431114,322713367,322713367,73.87,15.05,3122540.0,293364025.71,3972672,79.67,12.94,65.02,15.83,31117.0,2882434.0,83610,71.71,16.86,913.75,234.09,83401.0,7889973.0,8731,1269.33,436.25,8756.58,439.18,168217.0,15953272.0,1967,8584.01,417.55
NRA324_S131_L008_R1_001_minlen_trimmed,3475316,327360393,327360393,75.08,14.06,3176658.0,298932638.16,3972672,81.41,11.61,66.86,16.39,32128.0,2985119.0,83610,74.68,17.34,897.04,229.37,83186.0,7852115.0,8731,0.0,0.0,8288.57,431.16,158914.0,15097698.0,1967,8052.37,366.43
NRA325_S132_L008_R1_001_minlen_trimmed,2998423,283015215,283015215,59.55,13.1,2502860.0,236000043.67,3972672,61.89,11.07,22.8,5.74,15988.0,1494372.0,83610,25.92,6.74,1522.77,367.57,138768.0,13154986.0,8731,1874.71,243.27,15893.63,810.21,307047.0,28968177.0,1967,15547.67,707.7
NRA326_S133_L008_R1_001_minlen_trimmed,3597988,338375421,338375421,76.5,15.28,3234516.0,303765291.31,3972672,81.25,13.08,67.46,15.82,46490.0,4319196.0,83610,79.44,21.5,1030.35,249.91,93724.0,8900871.0,8731,975.32,97533.36,10154.75,470.53,195032.0,18525142.0,1967,9851.76,397.4
NRA327_S134_L008_R1_001_minlen_trimmed,3540181,335668483,335668483,71.57,11.56,3009434.0,285032847.53,3972672,76.47,9.09,145.81,28.62,110458.0,10375728.0,83610,163.96,29.11,1228.15,267.48,111221.0,10607370.0,8731,1625.05,385.0,14438.34,556.24,276998.0,26404117.0,1967,14432.48,574.66
NRA328_S135_L008_R1_001_minlen_trimmed,4233451,393368985,393368985,93.33,20.61,4003447.0,371811165.33,3972672,98.9,16.82,81.03,21.61,62925.0,5773755.0,83610,93.64,28.06,642.62,163.85,59889.0,5559641.0,8731,1519.31,774.56,4387.13,208.57,85725.0,8022564.0,1967,4312.6,216.78
NRA329_S136_L008_R1_001_minlen_trimmed,3901831,361710086,361710086,84.64,15.42,3634883.0,336576400.37,3972672,96.38,14.52,73.36,21.26,49350.0,4507249.0,83610,96.03,37.97,789.58,208.82,73278.0,6832673.0,8731,976.19,254.05,6087.28,310.97,117709.0,11109051.0,1967,5594.27,220.48
NRA330_S137_L008_R1_001_minlen_trimmed,3080613,289446862,289446862,67.85,12.03,2867408.0,269292994.05,3972672,76.04,10.13,41.03,11.86,31529.0,2922047.0,83610,53.25,19.64,864.33,232.44,79503.0,7472482.0,8731,1054.19,119.41,4419.39,230.46,85605.0,8057121.0,1967,4363.62,235.46
NRA331_S138_L008_R1_001_minlen_trimmed,2981598,280404799,280404799,63.83,11.45,2693732.0,253369240.64,3972672,71.32,9.38,216.42,66.74,100235.0,9259811.0,83610,232.83,60.18,808.34,224.03,74495.0,6986358.0,8731,3030.79,1771.98,4998.67,266.83,97041.0,9128805.0,1967,4920.13,270.32
NRA332_S139_L008_R1_001_minlen_trimmed,3200018,299493843,299493843,71.78,18.72,3045643.0,285133124.61,3972672,73.44,14.59,55.07,16.47,42832.0,3924644.0,83610,64.23,19.93,525.14,156.87,50250.0,4598834.0,8731,10090.92,6473.7,2453.78,153.52,48124.0,4464659.0,1967,2191.41,89.21
