read_file,total_reads,total_bases,percent_bases_mapped,chr_coverage_avg,chr_coverage_rel_variance,chr_num_reads_mapped,chr_num_bases_mapped,chr_length,chr_nbinom_fit_mean,chr_nbinom_fit_rel_var,pab1_coverage_avg,pab1_coverage_rel_variance,pab1_num_reads_mapped,pab1_num_bases_mapped,pab1_length,pab1_nbinom_fit_mean,pab1_nbinom_fit_rel_var,pab2_coverage_avg,pab2_coverage_rel_variance,pab2_num_reads_mapped,pab2_num_bases_mapped,pab2_length,pab2_nbinom_fit_mean,pab2_nbinom_fit_rel_var,pab3_coverage_avg,pab3_coverage_rel_variance,pab3_num_reads_mapped,pab3_num_bases_mapped,pab3_length,pab3_nbinom_fit_mean,pab3_nbinom_fit_rel_var
NRA350_S157_L008_R1_001_minlen_trimmed,2411995,225427117,225427117,52.98,10.47,2251286.0,210179527.67,3972672,59.47,8.98,40.88,15.15,21801.0,1995173.0,83610,42.68,18.69,477.37,144.33,43692.0,4095938.0,8731,609.98,152.57,4107.64,226.43,78470.0,7465760.0,1967,3779.39,151.63
NRA351_S158_L008_R1_001_minlen_trimmed,1946978,188992241,188992241,45.35,9.12,1841656.0,178711014.78,3972672,49.92,7.58,30.08,8.98,20329.0,1959897.0,83610,35.67,9.76,497.19,155.58,43875.0,4255807.0,8731,643.95,84.74,1823.62,91.82,34108.0,3320537.0,1967,1814.37,79.56
NRA352_S159_L008_R1_001_minlen_trimmed,1437224,136393176,136393176,30.33,5.53,1263863.0,119787992.72,3972672,33.33,5.21,155.26,34.32,58599.0,5503821.0,83610,170.83,39.77,398.28,96.3,36065.0,3438704.0,8731,444.31,93.03,3521.67,159.48,66768.0,6415144.0,1967,3334.05,117.37
NRA353_S160_L008_R1_001_minlen_trimmed,1143083,108297261,108297261,24.47,4.45,1025340.0,97004127.33,3972672,26.71,4.23,16.58,4.63,12559.0,1174112.0,83610,18.77,5.62,361.04,80.34,32725.0,3115942.0,8731,415.64,60.98,3332.12,139.37,63455.0,6083049.0,1967,3259.75,134.97
NRA354_S161_L008_R1_001_minlen_trimmed,1260364,118822430,118822430,26.25,4.86,1100917.0,103708490.67,3972672,28.99,4.76,143.82,38.63,65547.0,6083787.0,83610,150.54,40.7,324.73,77.38,29638.0,2806584.0,8731,664.73,373.72,2883.26,121.77,54749.0,5260398.0,1967,2829.57,122.08
NRA355_S162_L008_R1_001_minlen_trimmed,1206553,114103400,114103400,24.16,4.52,1012165.0,95530813.4,3972672,26.39,4.09,14.18,4.04,9732.0,906663.0,83610,14.78,4.07,637.41,151.78,58005.0,5508919.0,8731,669.49,208.77,5950.94,264.96,113753.0,10853810.0,1967,5810.51,237.52
NRA356_S163_L008_R1_001_minlen_trimmed,1200097,113069768,113069768,23.87,4.72,1008241.0,94890177.33,3972672,26.03,4.47,76.8,17.86,59025.0,5477602.0,83610,95.94,33.66,341.67,81.65,31248.0,2953775.0,8731,315.57,79.39,4736.18,212.33,90635.0,8644051.0,1967,4623.77,209.11
NRA357_S164_L008_R1_001_minlen_trimmed,706525,67570611,67570611,14.35,2.92,592284.0,56574662.73,3972672,15.61,2.98,9.35,2.85,6943.0,654881.0,83610,9.45,2.93,333.39,77.63,29757.0,2844176.0,8731,1199.2,684.38,3618.2,169.24,68826.0,6579670.0,1967,3499.63,148.35
NRA358_S165_L008_R1_001_minlen_trimmed,1200212,113110395,113110395,25.97,4.78,1094252.0,103051126.0,3972672,28.49,4.46,45.11,11.1,34520.0,3208117.0,83610,52.48,14.2,246.92,56.31,22498.0,2127757.0,8731,292.43,42.77,2197.49,98.26,41985.0,4007308.0,1967,2145.78,94.37
NRA359_S166_L008_R1_001_minlen_trimmed,1240380,117088287,117088287,26.96,5.02,1138690.0,107382126.49,3972672,29.74,4.72,23.14,6.09,17589.0,1635767.0,83610,23.01,4.96,298.55,70.37,27269.0,2581141.0,8731,524.84,272.49,2546.39,109.79,48644.0,4651236.0,1967,2471.49,98.88
NRA360_S167_L008_R1_001_minlen_trimmed,1183084,110628689,110628689,26.09,5.2,1105717.0,103267512.34,3972672,28.87,4.85,19.8,5.87,9138.0,839750.0,83610,19.56,6.59,249.64,62.72,22986.0,2160823.0,8731,315.39,95.14,1905.86,89.69,36416.0,3475807.0,1967,1928.88,111.3
